platform,address_id,address_name,address_type,product_id,product_name,restaurant,product_price,delivery_fee,service_fee,total_price,delivery_time_min,delivery_time_max,delivery_time_avg,discount_text,available,scrape_timestamp
rappi,polanco,Polanco,premium,big_mac,Big Mac,McDonald's,,,,,,,,,False,2026-03-27T14:14:38.526206+00:00
rappi,polanco,Polanco,premium,combo_mediano,McCombo Mediano Big Mac,McDonald's,,,,,,,,,False,2026-03-27T14:14:53.733924+00:00
rappi,polanco,Polanco,premium,nuggets_10,McNuggets 10 piezas,McDonald's,,,,,,,,,False,2026-03-27T14:15:09.391494+00:00
rappi,polanco,Polanco,premium,coca_600,Coca-Cola 600ml,McDonald's,,,,,,,,,False,2026-03-27T14:15:24.753127+00:00
rappi,polanco,Polanco,premium,agua_1l,Agua 1L,McDonald's,,,,,,,,,False,2026-03-27T14:15:40.031611+00:00
rappi,condesa,Condesa,premium,big_mac,Big Mac,McDonald's,,,,,,,,,False,2026-03-27T14:15:59.192363+00:00
rappi,condesa,Condesa,premium,combo_mediano,McCombo Mediano Big Mac,McDonald's,,,,,,,,,False,2026-03-27T14:16:14.925000+00:00
rappi,condesa,Condesa,premium,nuggets_10,McNuggets 10 piezas,McDonald's,,,,,,,,,False,2026-03-27T14:16:30.573154+00:00
rappi,condesa,Condesa,premium,coca_600,Coca-Cola 600ml,McDonald's,,,,,,,,,False,2026-03-27T14:16:45.992436+00:00
rappi,condesa,Condesa,premium,agua_1l,Agua 1L,McDonald's,,,,,,,,,False,2026-03-27T14:17:01.095222+00:00
rappi,roma_norte,Roma Norte,premium,big_mac,Big Mac,McDonald's,,,,,,,,,False,2026-03-27T14:17:19.340145+00:00
rappi,roma_norte,Roma Norte,premium,combo_mediano,McCombo Mediano Big Mac,McDonald's,,,,,,,,,False,2026-03-27T14:17:35.157503+00:00
rappi,roma_norte,Roma Norte,premium,nuggets_10,McNuggets 10 piezas,McDonald's,,,,,,,,,False,2026-03-27T14:17:50.165284+00:00
rappi,roma_norte,Roma Norte,premium,coca_600,Coca-Cola 600ml,McDonald's,,,,,,,,,False,2026-03-27T14:18:05.268483+00:00
rappi,roma_norte,Roma Norte,premium,agua_1l,Agua 1L,McDonald's,,,,,,,,,False,2026-03-27T14:18:20.398263+00:00
